;ÝL HALK KÜTÜPHANESÝ ve ÝLÇE HALK KÜTÜPHANELERÝ 2016 YIL SONU ÝSTATÝSTÝK SONUÇLARI;;;;;;
SIRA NO;KÜTÜPHANE ADI;KÝTAP SAYISI;OKUYUCU SAYISI;ÜYE SAYISI;ÖDÜNÇ VERÝLEN MATERYAL SAYISI;;
1;Hatay Cemil Meriç Ýl Halk Ktp.si Müd;67242;48191;12267;22365;;
2;Ýskenderun Ýlçe Halk Ktp.si Müd.;33499;47849;5727;12127;;
3;Kýrýkhan N.Ulviye Civelek Ýlçe Halk Ktp.si Müd.;23587;34650;7130;17296;;
4;Reyhanlý Ýlçe Halk Ktp.si Müd.;11407;1461;263;728;;
5;Altýnözü Ýlçe Halk Kütüphanesi;6515;1830;825;1574;;
6;Samandaðý Ýlçe Halk Kütüphanesi;14334;3817;464;2010;;
7;Samandað-Tavla Ýlçe Halk Kütüphanesi;KÜTÜPHANE GEÇÝCÝ OLARAK KAPALI;;;;;
8;Yayladað Ýlçe Halk Kütüphanesi;11022;4550;700;1470;;
9;Dörtyol Ýlçe Halk Kütüphanesi;23042;9184;2492;5853;;
10;Dörtyol Yeþilköy Halk Kütüphanesi;6350;KÜTÜPHANE GEÇÝCÝ OLARAK KAPALIDIR;;;;
11;Dörtyol Kuzuculu Halk Kütüphanesi;8169;1632;269;609;;
12;Hassa Ýlçe Halk Kütüphanesi;12868;5371;1078;5053;;
13; Hassa Ardýçlý Halk Kütüphanesi;5809;2106;261;3116;;
14;Hassa Akbez Halk Kütüphanesi;5342;1808;465;603;;
15;Hassa  Aktepe Halk Kütüphanesi;6660;1806;165;1112;;
16;Belen Ýlçe Halk Kütüphanesi;8290;175;274;678;;
17;Erzin Ýlçe Halk Kütüphanesi;16820;12421;2354;5518;;
18;Kumlu Ýlçe Halk Kütüphanesi;2968;KÜTÜPHANE GEÇÝCÝ OLARAK KAPALIDIR;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
